pathway_id	gene_id
R-ATH-1119260	AT1G62430
R-ATH-1119260	AT2G39290
R-ATH-1119260	AT3G55030
R-ATH-1119260	AT3G58830
R-ATH-1119260	AT4G04870
R-ATH-1119260	AT4G22340
R-ATH-1119260	AT4G26770
R-ATH-1119261	AT1G18870
R-ATH-1119261	AT1G74710
R-ATH-1119261	AT2G37040
R-ATH-1119261	AT3G10340
R-ATH-1119261	AT3G53260
R-ATH-1119261	AT5G04230
R-ATH-1119262	AT1G72810
R-ATH-1119262	AT2G17265
R-ATH-1119262	AT4G29840
R-ATH-1119263	AT1G75330
R-ATH-1119263	AT1G80600
R-ATH-1119263	AT2G19940
R-ATH-1119263	AT2G22910
R-ATH-1119263	AT2G37500
R-ATH-1119263	AT3G57560
R-ATH-1119263	AT4G17830
R-ATH-1119263	AT4G24830
R-ATH-1119263	AT4G37670
R-ATH-1119265	AT1G15130
R-ATH-1119265	AT1G31220
R-ATH-1119265	AT1G69190
R-ATH-1119265	AT2G21550
R-ATH-1119265	AT3G11750
R-ATH-1119265	AT3G21730
R-ATH-1119265	AT4G30000
R-ATH-1119265	AT5G62980
R-ATH-1119267	AT1G77120
R-ATH-1119267	AT4G33070
R-ATH-1119267	AT5G01320
R-ATH-1119267	AT5G01330
R-ATH-1119267	AT5G43940
R-ATH-1119267	AT5G54960
R-ATH-1119271	AT1G08630
R-ATH-1119271	AT1G31670
R-ATH-1119271	AT1G31690
R-ATH-1119271	AT1G31710
R-ATH-1119271	AT3G04520
R-ATH-1119273	AT1G13440
R-ATH-1119273	AT1G14810
R-ATH-1119273	AT1G16300
R-ATH-1119273	AT1G31230
R-ATH-1119273	AT1G79530
R-ATH-1119273	AT2G19940
R-ATH-1119273	AT2G44040
R-ATH-1119273	AT2G45440
R-ATH-1119273	AT3G02020
R-ATH-1119273	AT3G04120
R-ATH-1119273	AT3G14390
R-ATH-1119273	AT3G59890
R-ATH-1119273	AT3G60880
R-ATH-1119273	AT4G19710
R-ATH-1119273	AT4G35250
R-ATH-1119273	AT5G11880
R-ATH-1119273	AT5G13280
R-ATH-1119273	AT5G14060
R-ATH-1119273	AT5G52100
R-ATH-1119274	AT4G16745
R-ATH-1119276	AT1G13560
R-ATH-1119276	AT1G52570
R-ATH-1119276	AT1G55180
R-ATH-1119276	AT2G32260
R-ATH-1119276	AT3G15730
R-ATH-1119276	AT3G25585
R-ATH-1119276	AT4G11830
R-ATH-1119276	AT4G11840
R-ATH-1119276	AT4G11850
R-ATH-1119276	AT4G35790
R-ATH-1119278	AT1G10700
R-ATH-1119278	AT2G42910
R-ATH-1119278	AT2G44530
R-ATH-1119281	AT2G22250
R-ATH-1119281	AT2G30970
