pathway_id	pathway_name	species	top_level_category	description	release_date	go_biological_process_id	go_biological_process_name	name_normalized	name_compact
R-ATH-1119260	Cardiolipin biosynthesis	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0032049	cardiolipin biosynthetic process	cardiolipin biosynthesis	cardiolipinbiosynthesis
R-ATH-1119261	Salicylate biosynthesis	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0009697	salicylic acid biosynthetic process	salicylate biosynthesis	salicylatebiosynthesis
R-ATH-1119262	Threonine biosynthesis from homoserine	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0009088	threonine biosynthetic process	threonine biosynthesis from homoserine	threoninebiosynthesisfromhomoserine
R-ATH-1119263	Arginine biosynthesis	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0042450	arginine biosynthetic process via ornithine	arginine biosynthesis	argininebiosynthesis
R-ATH-1119265	Tetrahydrofolate biosynthesis I	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0046654	tetrahydrofolate biosynthetic process	tetrahydrofolate biosynthesis i	tetrahydrofolatebiosynthesisi
R-ATH-1119267	Phenylalanine degradation III	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0006559	L-phenylalanine catabolic process	phenylalanine degradation iii	phenylalaninedegradationiii
R-ATH-1119271	Threonine degradation	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0006567	threonine catabolic process	threonine degradation	threoninedegradation
R-ATH-1119273	Lysine biosynthesis I	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0033359	lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate	lysine biosynthesis i	lysinebiosynthesisi
R-ATH-1119274	Monoterpene biosynthesis	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0043693	monoterpene biosynthetic process	monoterpene biosynthesis	monoterpenebiosynthesis
R-ATH-1119276	Choline biosynthesis III	Arabidopsis thaliana	Metabolism and regulation	This event has been computationally inferred from an event that has been demonstrated in another species. The inference is based on the homology mappings from Ensembl Compara. Briefly, reactions for which all involved PhysicalEntities (in input, output and catalyst) have a mapped orthologue/paralogue (for complexes at least 1% of components must have a mapping) are inferred to the other species. High level events are also inferred for these events to allow for easier navigation.  More details and caveats of the event inference in Reactome. 	2025-02-15	0042425	choline biosynthetic process	choline biosynthesis iii	cholinebiosynthesisiii
